                                    Province Pop.Inf Pop.sen Unipers Divorzi Vedovi Laurea Notitolo T.attiv T.disoc. Mov.nat Mov.mig Natalit. Fecondi1 Dopo.82 xbagni Impianto  TV.. Parco Lusso.Imm Add.H Add.J Imp.cont Cont.res Add.Ul x0add.Add   V68 Artigiane Imprendi 
             "San Secondo Parmense"     "PR"    7.28   10.63    20.8    1.34   9.35   2.95    11.99    43.5      5.4   65.36  133.13     8.18     4.22    8.86  27.13    79.15 30.43 52.59     13.96  0.69  0.48    17547    61.31   28.0     40.09 19.82     35.65     5.47
                            "Sissa"     "PR"    7.29   13.06    22.3    1.09  11.14   2.30    14.34    43.1      5.0   42.68  144.54     6.21     3.46    9.31  30.85    74.52 31.17 57.55     10.81  0.93  0.32    17001    62.82   26.6     30.94  8.38     46.59     5.91
                        "Solignano"     "PR"    7.27   11.42    24.8    1.80   9.29   1.39    27.49    41.6      7.1   44.58  147.06     6.74     3.71    9.50  12.40    60.06 28.69 53.93     11.11  1.80  0.44    17719    61.09   58.5     72.36 50.51     29.29     4.95
                          "Soragna"     "PR"    8.22   11.63    19.7    1.30   9.92   2.54    13.82    45.1      4.9   63.07  143.46     8.89     4.58   12.53  27.69    78.06 29.81 53.88     13.09  0.96  0.46    16544    59.00   30.1     50.60 13.71     44.62     3.48
                          "Sorbolo"     "PR"    7.84    8.29    15.6    1.47   9.11   2.83    11.34    48.4      4.4   79.20  146.61     7.97     3.74   13.81  27.97    89.72 29.41 57.22     12.35  0.95  0.44    19887    63.30   30.9     46.35 12.87     44.03     6.35
                          "Terenzo"     "PR"    5.31   15.31    37.3    0.99  12.05   0.38    13.30    37.3      5.5   43.75  123.58     7.08     4.91    3.68  15.89    50.67 28.66 50.95      9.04  1.97  0.08    14559    61.94   19.0     35.60  0.00     36.00     4.56
                "Tizzano Val Parma"     "PR"    5.26   16.51    37.8    1.71  13.18   1.54    13.27    40.2      5.9   29.69  138.03     5.55     3.60    3.05  20.06    58.70 35.35 58.65      9.68  1.93  0.31    14564    63.69   28.8     16.26  0.00     49.80     8.22
                          "Tornolo"     "PR"    6.33   16.87    39.2    1.21  12.46   1.38    10.59    35.0     12.2   24.18  105.05     4.69     3.17    5.75   7.47    41.38 23.19 42.04      8.33  1.92  0.19    13359    53.29   24.1     33.95  0.00     43.07     1.59
                          "Torrile"     "PR"   10.02    5.82    17.2    1.88   6.29   2.32    11.77    50.3      5.0  114.63  162.77     9.73     4.31   19.31  25.66    86.61 25.01 61.46     14.93  0.85  0.21    18768    58.99   47.6     64.58 17.25     45.19     5.80
                     "Traversetolo"     "PR"    7.95    9.59    21.7    2.02   9.24   3.97    11.80    45.9      5.6   83.26  189.44     9.38     4.49    8.76  25.23    83.80 29.19 57.49     14.58  0.90  0.55    18517    61.27   31.5     27.62  2.54     39.70     9.28
                        "Trecasali"     "PR"    8.77    8.81    18.1    1.46   9.69   3.47    12.39    45.8      5.1   66.67  194.74     8.53     4.15   14.30  28.19    75.25 27.81 58.30     15.82  0.69  0.29    16925    61.51   31.1     58.99 21.27     41.71     8.33
                       "Valmozzola"     "PR"    4.86   22.51    41.1    1.07  13.63   1.31    24.39    30.3      4.3   20.00   80.00     4.74     3.92    6.80   7.81    38.54 31.16 55.81     10.85  1.66  0.12    13264    55.57   15.3     17.05  0.00     36.92     0.79
              "Varano de' Melegari"     "PR"    6.41   12.92    27.1    1.45  10.65   2.85    15.40    43.9      4.8   29.70  174.40     4.82     2.60    6.53  15.48    57.68 30.89 55.47      8.33  1.49  0.24    18319    62.89   28.2     30.77  9.23     52.53     4.20
                            "Varsi"     "PR"    5.93   17.73    37.3    0.72  13.34   0.84    19.06    36.5      3.9   19.47  107.55     3.75     2.58    2.02  14.74    46.46 31.32 46.86      7.08  1.53  0.20    13478    63.52   16.2     19.56  0.00     42.55     3.70
                          "Zibello"     "PR"    6.06   13.94    21.0    1.31  12.62   3.28     9.74    41.9      4.9   38.33  106.15     6.94     3.80    6.23  30.88    64.88 30.14 52.53     11.76  0.95  0.45    17155    64.03   30.9     30.75  0.00     50.00     8.28
                         "Agazzano"     "PC"    6.04   14.45    25.6    0.95  10.72   0.91    16.32    40.2      4.2   31.07  161.40     5.61     3.41    9.57  20.03    77.17 32.21 52.08     12.35  1.16  0.47    16754    62.27   24.1     42.79 29.69     36.43     9.33
                           "Alseno"     "PC"    7.99    8.10    21.6    1.88   8.43   1.09    13.96    44.4      6.4   66.67  105.60     7.30     3.42   11.72  16.71    72.51 31.17 55.28     11.55  1.51  0.22    16754    59.79   33.9     50.36 25.60     45.33     6.14
                        "Besenzone"     "PC"    6.49    9.84    18.3    1.43   9.46   0.88     8.94    46.3      7.0   55.26   78.13     6.69     3.45    4.10  21.31    61.20 29.23 55.87      5.56  0.86  0.00    14987    57.98   12.2      8.59  0.00     57.58     6.79
                          "Bettola"     "PC"    5.53   13.09    30.0    1.45  10.17   0.69    14.12    39.5      7.6   35.10  146.53     5.12     3.18    4.65  10.06    57.74 27.95 52.40     10.00  1.42  0.55    14213    64.28   24.8     34.85  0.00     38.58     5.37
                           "Bobbio"     "PC"    5.09   16.24    34.3    1.34  11.97   0.48    11.99    37.7      7.5   31.08  200.00     5.95     3.85    8.79  15.14    60.63 31.19 50.14     11.11  2.51  0.62    16438    56.92   28.0     30.35 12.73     33.86     6.35
             "Borgonovo Val Tidone"     "PC"    7.09   11.53    24.5    1.63   8.81   1.10    11.03    41.1      7.2   35.01  197.95     6.00     3.10    9.35  13.56    77.80 31.77 49.81      8.63  0.96  0.20    17108    58.55   29.2     54.93 27.96     38.16     5.34
                            "Cadeo"     "PC"    9.36    6.80    18.5    1.83   7.19   0.85    11.42    45.0      6.0   78.89  103.73     8.77     3.88   14.13  20.64    82.61 29.52 54.95     13.27  1.17  0.20    19227    57.26   28.3     46.07 25.65     44.44     6.12
                       "Calendasco"     "PC"    5.16    8.62    29.5    1.47  10.51   0.54    10.33    44.7      8.1   52.75  149.48     7.37     3.76    5.84  12.22    73.24 29.86 62.76      9.72  1.01  0.14    17442    63.96   50.8     54.22  4.62     51.50     5.26
                         "Caminata"     "PC"    4.08   19.44    33.1    1.25  10.66   2.94     5.43    35.1      9.8   18.75  205.88     3.13     2.04    2.70  13.51    81.76 36.99 47.65      0.00  0.63  0.00    13035    63.32   11.6      0.00  0.00     31.58     2.78
                           "Caorso"     "PC"    6.58   10.51    23.4    1.19   9.99   0.96    11.88    42.4      6.7   56.44  134.73     6.89     3.48    8.21  17.48    79.77 31.52 53.50     10.56  1.03  0.38    17183    60.17   37.6     61.92 34.85     38.60     3.41
             "Carpaneto Piacentino"     "PC"    7.30    9.33    22.5    1.42   8.33   0.87    11.05    45.3      6.3   56.41  219.41     7.09     3.50   12.78  10.26    75.21 31.15 54.21     13.64  1.34  0.42    16356    59.73   31.4     43.00 14.67     36.27     6.34
                  "Castell'Arquato"     "PC"    7.01    9.81    23.9    1.70   9.13   1.25    10.43    42.2      6.1   52.25  170.32     7.04     3.67    9.46   7.91    70.43 30.85 52.64     11.61  2.20  0.14    16626    59.32   23.9     34.00  5.32     45.73     8.57
              "Castel San Giovanni"     "PC"    6.96    9.70    22.3    1.41   9.65   1.21     9.83    42.6      7.9   53.46  129.97     7.24     3.53    7.33  12.04    81.70 31.70 53.29     13.25  1.10  0.89    18748    60.42   35.3     50.72 23.54     38.03     5.56
           "Castelvetro Piacentino"     "PC"    7.41   10.65    22.7    1.74  11.20   2.49    14.58    42.8      5.8   39.13  133.70     5.54     2.75    9.59  23.86    78.51 32.77 52.67     13.49  1.56  0.31    18280    60.55   25.2     36.30  0.00     36.01     4.37
                        "Cerignale"     "PC"    2.52   27.76    52.2    0.95  14.20   0.70     9.58    34.1     11.1    0.00  114.29     0.00     0.00   17.03   4.40    30.77 30.28 45.43      5.88  2.21  0.00    16133    49.84   14.2      0.00  0.00      8.00     3.85
                             "Coli"     "PC"    3.62   14.74    37.4    0.93  11.54   1.09    13.28    33.4      7.6   21.28  122.52     2.81     2.08    9.40  10.28    40.78 28.73 50.21     12.75  2.70  0.08    14934    57.62   20.4      8.26  0.00     33.33     3.68
                "Corte Brugnatella"     "PC"    5.36   14.88    33.3    0.98  11.38   0.80     9.18    35.0     11.3   40.54  134.55     5.47     3.91    7.89   9.92    48.09 28.34 47.70      5.95  1.75  0.00    14619    55.36   14.2      7.69  0.00     36.11     3.05
                    "Cortemaggiore"     "PC"    6.47    8.97    21.1    1.85  10.15   1.27     9.76    45.4      6.4   54.60  115.16     6.62     3.29    7.18  14.24    74.96 32.18 59.50     13.13  1.21  0.33    18068    60.83   35.5     57.35 35.87     46.40     5.67
                           "Farini"     "PC"    4.82   18.14    38.4    0.64  12.94   0.57    36.38    34.9      9.2   14.60   68.21     2.87     2.24    3.37   8.29    39.69 27.99 43.12     11.76  1.85  0.17    12314    55.50   22.3     34.10 16.96     39.81     3.72
                         "Ferriere"     "PC"    3.85   20.52    42.4    1.20  13.12   0.43    10.22    32.6     10.0   12.50   61.44     2.37     2.09    2.74   6.10    33.39 22.32 36.26     16.67  1.72  0.19    13253    49.72   14.1     20.37  0.00     27.37     5.35
               "Fiorenzuola d'Arda"     "PC"    6.77    8.83    22.2    1.63   9.39   1.48    10.45    44.2      7.6   62.20  135.75     7.66     3.77    9.16  12.82    78.58 33.76 54.04     15.35  2.17  1.28    19984    61.75   46.8     53.66 24.98     40.60     6.76
                          "Gazzola"     "PC"    7.40   11.20    27.3    2.38   7.88   2.53    14.26    42.0      2.8   63.46  142.55     7.47     4.06   15.70  27.93    65.29 29.80 56.14     12.00  2.58  0.00    15354    59.06   20.9     37.34 25.32     53.76     9.08
                       "Gossolengo"     "PC"    7.74    7.40    20.5    1.58   7.19   1.37    10.27    45.5      5.8   88.89  208.86    10.09     4.58   26.95  28.32    81.21 29.17 59.20     13.73  1.65  0.28    18689    57.48   29.8     39.45  0.00     45.00     7.96
              "Gragnano Trebbiense"     "PC"    7.09   11.12    24.3    1.19   9.99   1.14    13.61    42.5      7.7   52.76  157.08     7.20     3.69   13.61  17.05    78.11 30.95 54.67     10.05  1.06  0.16    18080    62.35   24.4     45.51 19.00     46.26     4.68
                      "Gropparello"     "PC"    6.17   16.28    32.6    1.55  12.79   0.76    16.35    38.2      8.9   47.54  154.94     7.32     4.69    5.00  17.38    59.61 33.23 50.34     13.42  1.14  0.15    14280    60.33   22.9     37.58  8.77     44.19     6.86
             "Lugagnano Val d'Arda"     "PC"    8.12   11.10    27.5    1.68  10.72   0.96    11.90    39.9      8.6   34.95  195.54     5.67     3.05   11.94  15.76    73.11 31.36 48.19     13.28  1.20  0.21    15052    60.45   25.6     39.34 15.79     47.76     6.23
              "Monticelli d'Ongina"     "PC"    6.31   12.18    25.2    1.43  11.39   0.48    13.21    40.8      5.6   52.51  147.21     7.11     3.90    4.77  21.21    71.65 34.50 52.45     12.08  1.39  0.54    16989    61.68   27.7     41.02 11.73     41.13     6.30
                         "Morfasso"     "PC"    4.38   16.98    40.9    1.09  13.36   0.35    28.18    33.5     10.8   17.98   75.21     3.07     2.42    3.57   6.11    27.39 29.88 48.65     10.08  1.50  0.12    10861    62.46   14.3     25.00 20.16     39.64     1.64
                         "Nibbiano"     "PC"    5.76   11.02    30.9    0.98   9.88   1.30    11.54    43.9      7.8   51.35  125.96     7.76     4.21    8.62  16.36    77.93 29.15 52.59     14.93  1.06  0.16    14036    61.98   28.4     33.24 13.53     50.85     3.21
                           "Ottone"     "PC"    1.80   24.47    47.5    1.46  14.93   1.01    10.44    29.4      6.1   13.04  114.29     3.37     3.49    2.50   3.13    27.08 27.83 40.18      9.26  2.13  0.22    13888    56.34   14.5      7.75  0.00     35.82    12.15
                         "Pecorara"     "PC"    3.04   19.52    44.0    1.38  12.34   0.86    26.96    34.3      8.3   20.00  123.73     4.30     3.70    3.32   9.38    55.08 28.18 48.43      6.31  1.47  0.00    11905    66.67   11.0     13.33  0.00     42.37     2.51
                         "Piacenza"     "PC"    6.82    8.30    25.7    2.62   9.55   7.97     7.60    43.8      8.7   58.40  109.02     6.97     3.40    7.33  19.64    91.03 35.19 59.58     19.10  1.18  2.08    22668    62.24   42.6     58.69 34.79     28.12     7.42
              "Pianello Val Tidone"     "PC"    6.43   13.68    32.9    1.26   9.77   3.13     7.98    38.3      7.3   34.33  145.45     6.66     3.77    4.82  12.35    75.80 31.22 51.93     18.41  2.69  0.56    14763    61.01   28.9     25.98  0.00     41.42     3.80
                         "Piozzano"     "PC"    4.53   12.53    27.6    1.47   9.60   0.98    14.60    46.4      2.9   35.90  103.70     6.22     4.40    4.65  11.96    47.84 27.20 63.07     11.11  2.40  0.00    12252    68.80   14.5     12.84  0.00     44.83     7.87
                        "Podenzano"     "PC"    8.03    8.00    18.9    1.35   7.97   0.91    10.71    44.7      6.9   71.75  215.74     8.08     3.83   15.46  18.61    84.04 28.68 56.66     13.47  1.01  0.32    17893    61.02   52.6     71.05 36.95     41.35     5.91
                  "Ponte dell'Olio"     "PC"    6.86   10.32    25.7    1.47  10.17   0.49    14.03    41.7      7.2   53.57  146.96     7.25     3.67   10.21   8.04    75.20 31.51 50.90     14.47  1.28  0.46    18025    59.21   27.8     45.97 24.48     43.26     7.57
                        "Pontenure"     "PC"    6.70    9.08    20.0    1.43   9.38   1.15    11.11    44.1      8.5   58.99  112.13     6.94     3.42   13.46  13.04    81.93 32.27 57.85     14.07  1.17  0.32    18810    59.88   31.8     50.72 18.55     40.58     6.76
                        "Rivergaro"     "PC"    7.20   10.59    25.5    2.03   9.19   1.32     9.18    42.6      7.6   50.48  159.35     7.40     3.59   11.64  18.12    82.36 30.04 54.18     12.96  1.74  0.29    19538    57.25   22.2     36.60  5.28     35.84     9.23
                       "Rottofreno"     "PC"    8.36    8.03    19.6    1.47   7.57   0.81    10.58    45.0      7.3   72.05  165.70     7.79     3.59   19.41  16.68    88.80 31.18 55.81     12.17  1.03  0.29    19648    60.27   33.4     51.80 16.79     39.12     5.97
           "San Giorgio Piacentino"     "PC"    7.48    8.46    20.7    1.53   8.57   1.24     9.81    44.3      7.1   82.58  143.24     9.09     4.27   14.57  17.35    76.52 29.33 53.84     11.96  1.53  0.17    17617    57.54   19.8     28.53  7.86     41.59     6.16
              "San Pietro in Cerro"     "PC"    6.29    8.59    24.7    0.60   9.79   1.04    15.12    42.8      4.9   51.28   85.04     6.66     3.37    3.79  12.88    64.65 30.27 58.94     13.33  1.20  0.00    14265    58.44   13.8      7.97  0.00     40.74     0.48
                          "Sarmato"     "PC"    7.16    9.79    24.0    2.09   9.33   0.63    12.68    39.8      9.1   57.89  145.66     8.52     4.11   11.66  13.64    76.88 32.60 51.34     14.77  0.85  0.19    18180    57.92   36.9     63.84 35.85     38.19     4.13
                            "Travo"     "PC"    5.66   14.71    36.2    1.52  12.18   1.57    13.65    37.7      9.1   33.91  151.31     6.57     3.92    6.17  11.36    59.87 25.68 54.04     16.96  1.62  0.15    14460    65.77   14.1      7.91  0.00     33.58     6.70
                         "Vernasca"     "PC"    6.08   14.56    30.8    0.86  12.61   0.81    18.53    39.3      6.7   47.46  120.14     7.00     4.40    6.61  13.21    56.20 33.21 48.03      5.80  1.69  0.11    12939    65.37   23.1     49.43 38.70     51.79     3.23
                        "Vigolzone"     "PC"    7.94    9.54    22.9    1.81   8.79   0.63    10.29    42.7      7.4   51.75  127.04     7.20     3.51   13.85  12.64    76.38 31.00 53.36     16.78  1.34  0.15    19303    59.81   31.9     49.82 20.93     44.93     6.51
              "Villanova sull'Arda"     "PC"    6.31   10.93    21.4    0.75  11.13   2.87    14.44    44.2      5.6   55.13  123.97     7.12     3.55    6.96  31.73    71.22 31.16 54.82      9.64  1.09  0.20    16384    58.35   35.0     52.91 21.13     41.46     3.99
                            "Zerba"     "PC"    2.58   30.97    55.9    1.94  14.84   0.00     5.19    26.5     12.2   14.29  154.55     4.30    13.33    1.08   8.60    32.26 27.74 39.35      6.67  5.16  0.00    13775    45.81   20.6      0.00  0.00     38.89    15.79
                 "Ziano Piacentino"     "PC"    5.45   16.11    34.8    1.03  12.91   0.97    10.95    38.6      6.6   26.11  173.81     5.20     3.65    4.10  13.32    76.52 35.00 52.06      8.41  0.46  0.15    13924    66.30   21.6     21.91  0.00     27.70     4.98
                        "Alfonsine"     "RA"    5.74    9.98    17.9    2.88   9.79   2.79    19.43    47.4      7.4   48.51   83.91     5.35     2.63    9.02  31.99    85.35 29.86 60.74      8.71  0.78  0.37    16286    64.21   29.4     59.69 36.73     43.30     5.73
                     "Bagnacavallo"     "RA"    6.19   11.46    20.0    2.34   9.52   3.88    19.81    45.5      6.9   45.63  130.56     5.77     2.96    5.73  34.70    84.50 31.18 60.05     10.90  0.62  0.52    15994    62.49   25.1     45.97 14.61     45.40     6.04
               "Bagnara di Romagna"     "RA"    5.37   11.97    19.7    1.98   8.99   2.17    16.46    44.1      6.3   55.17  129.17     6.23     3.49    2.78  26.44    91.34 30.36 59.66     13.24  1.40  0.47    15275    60.89   29.8     44.12  0.00     49.32     4.21
                      "Brisighella"     "RA"    6.22   12.35    27.0    1.88  10.44   3.05    20.15    44.6      6.5   46.96  107.88     5.94     3.15    6.44  19.54    66.33 29.98 58.68      6.49  1.64  0.31    15598    57.95   22.4     36.58 12.99     44.18     5.23
                  "Casola Valsenio"     "RA"    7.85   10.89    24.1    1.54   9.39   2.50    18.45    45.6      4.2   49.18  200.00     6.83     3.59    9.35  20.10    77.71 29.39 53.89      6.32  2.01  0.61    14924    57.17   22.4     44.73  9.16     40.49     4.67
                 "Castel Bolognese"     "RA"    7.81    9.52    18.0    1.95   7.98   1.75    16.54    48.2      5.3   82.72  129.75     8.49     3.95    9.98  29.24    85.07 29.53 55.79     12.35  0.93  0.96    17794    59.73   36.5     63.72 35.28     41.28     5.36
                           "Cervia"     "RA"    7.50    7.67    22.9    3.02   8.49   3.11    14.16    44.9     16.9   70.62  142.68     7.60     3.46    9.55  31.49    93.37 28.43 58.22     10.26  6.31  0.58    14082    62.93   34.9     26.45  8.10     27.93     7.16
                        "Conselice"     "RA"    5.38   11.63    19.4    2.34   9.82   2.84    18.53    46.0      7.4   45.65  122.91     6.17     3.25    5.37  29.67    89.56 31.97 57.61     15.40  0.84  0.41    16364    66.37   32.5     53.29 31.26     43.22     3.78
                        "Cotignola"     "RA"    7.04    9.98    20.2    1.95   8.81   3.24    18.12    47.8      4.7   54.58   98.46     6.31     3.09    7.93  37.99    85.25 30.49 61.29     10.74  1.03  0.46    17566    62.46   40.7     64.09 37.80     38.67     5.16
                           "Faenza"     "RA"    7.16   10.20    21.3    2.63   9.19   5.92    15.52    46.2      6.8   59.29  120.35     6.82     3.39    8.97  27.58    89.20 31.79 59.69     16.81  1.29  1.11    18683    59.42   41.2     57.24 32.01     34.87     6.79
                        "Fusignano"     "RA"    5.75   10.86    17.4    2.70   9.58   2.90    19.70    47.1      7.9   44.53  138.44     5.43     2.81    8.07  33.81    84.95 30.57 60.58     11.76  0.92  0.48    16367    62.49   39.0     58.31 20.79     41.37     4.04
                             "Lugo"     "RA"    6.12   10.87    20.0    2.46   9.62   5.69    16.04    45.2      6.8   50.00  125.88     6.12     3.12    6.49  33.74    85.54 31.88 61.27     14.01  1.05  1.50    18232    62.98   37.9     54.31 23.32     33.13     8.01
                    "Massalombarda"     "RA"    5.77   11.05    22.8    2.78  10.84   3.49    18.59    45.6     10.1   41.80  139.15     5.09     2.63    7.07  23.79    87.10 34.07 57.85     11.43  0.90  0.62    17312    65.83   33.2     58.44 30.83     39.81     4.54
                          "Ravenna"     "RA"    6.34    8.22    21.7    3.38   8.42   5.69    12.96    45.9      9.2   64.25  154.27     6.42     3.01    9.10  30.21    91.20 30.84 65.32     13.45  1.70  1.53    19696    62.75   40.7     63.17 37.47     27.49     6.44
                      "Riolo Terme"     "RA"    8.28    8.68    18.7    1.72   8.44   2.56    17.40    48.1      6.8   76.22  120.52     7.25     3.56   10.17  26.58    85.75 30.48 53.38      9.59  3.37  0.30    16208    59.51   30.5     38.28 12.74     36.90     2.64
                            "Russi"     "RA"    6.16   11.21    18.7    1.98   9.20   3.44    17.42    45.9      6.6   48.78  112.11     5.52     2.92    8.59  35.87    89.39 28.81 56.83      8.66  1.39  0.76    17019    63.26   31.8     50.35 25.75     46.13     4.95
          "Sant'Agata sul Santerno"     "RA"    6.89   13.89    22.0    2.60  11.04   3.43    17.89    47.3      7.8   53.16  120.27     6.99     3.75    5.36  29.43    89.84 30.87 58.59     11.27  2.35  0.30    16836    61.04   35.5     50.35 14.63     34.91     3.73
                         "Solarolo"     "RA"    7.22   11.29    16.5    1.90   8.74   3.14    21.22    44.4      5.6   57.32  194.29     7.49     3.80    8.99  36.89    82.37 28.67 54.65     11.90  1.42  0.40    15028    56.12   21.6     21.99  0.00     41.35     5.21
                          "Albinea"     "RE"    7.92    6.19    15.3    1.71   6.77   5.26    11.34    48.7      4.6  125.00  172.03     9.12     4.05   14.35  38.23    88.14 26.73 62.49     16.97  1.01  0.21    23545    62.34   28.8     53.97 23.94     41.45     9.75
                 "Bagnolo in Piano"     "RE"    7.41    8.32    15.4    1.86   8.18   2.35    11.86    48.0      4.9   88.89  144.51     7.95     3.69   13.51  29.86    89.66 28.79 58.19     11.88  1.15  0.54    18726    64.64   36.9     57.53 22.85     36.73     6.73
                            "Baiso"     "RE"    8.25    8.75    19.9    1.09   8.93   1.74    21.08    46.7      5.4   59.20  115.83     7.68     3.92    7.70  21.58    71.26 25.99 57.27      8.05  1.12  0.19    16930    61.84   17.2     30.43  0.00     55.14     4.70
                         "Bibbiano"     "RE"    7.94    8.36    18.4    2.04   8.61   2.87    12.15    47.4      4.7   74.42  107.65     7.37     3.39    7.63  26.08    81.79 29.76 57.81      9.56  0.61  0.32    18371    61.54   34.0     48.54  9.19     50.72     4.13
                          "Boretto"     "RE"    7.47    9.92    20.3    2.57  10.66   3.19    10.81    43.7      6.3   57.67  160.61     7.25     3.71   11.29  31.88    73.00 30.80 53.68     11.83  0.76  0.51    17896    61.82   33.0     51.86 15.09     48.08     6.32
                        "Brescello"     "RE"    7.99   10.33    19.4    1.86  10.68   2.91    12.96    45.4      6.7   63.37  137.93     7.97     3.94    7.10  24.92    77.59 28.98 53.31     17.05  1.18  0.46    18854    58.86   44.0     58.28 30.11     46.68     6.90
                           "Busana"     "RE"    6.55   13.31    37.0    2.70  11.46   2.31    16.15    39.5      9.7   37.88   98.57     5.93     3.40    7.72  16.41    55.03 31.46 48.26      7.33  3.84  0.14    15613    57.15   38.1     51.49 35.07     40.14     6.26
              "Cadelbosco di Sopra"     "RE"    7.17    9.46    14.8    1.69   8.61   2.20    13.61    47.5      5.2   63.52  137.96     7.19     3.47    8.86  31.17    82.06 28.71 58.74     11.11  0.96  0.51    17940    64.15   36.1     46.25 16.25     53.21     5.93
                "Campagnola Emilia"     "RE"    7.40   10.30    16.2    1.78   9.16   1.99    15.06    46.9      6.1   51.63  131.30     5.92     2.85    7.39  34.41    83.06 28.80 54.20      9.79  0.79  0.34    17206    62.74   32.4     46.49  0.00     47.71     7.49
                        "Campegine"     "RE"    8.07    9.03    16.1    1.77   9.15   2.08    13.89    45.3      5.8   77.17  117.43     8.01     3.83    8.28  27.88    81.43 28.50 56.51     11.71  0.69  0.32    17450    61.52   23.4     38.36 14.05     52.90     4.78
                          "Canossa"     "RE"    7.27   10.90    24.8    1.83   9.85   1.26    15.85    41.6      4.9   66.47  155.96    11.11     5.77    6.36  19.78    71.06 29.23 56.80     11.85  1.65  0.54    15355    63.68   30.2     41.45  6.46     41.69     6.66
                        "Carpineti"     "RE"    7.48   10.68    22.8    1.71   9.14   1.28    20.24    45.1      6.8   82.81  178.89     8.78     4.85    9.00  21.56    66.96 27.40 59.96      7.95  1.89  0.37    15586    60.83   24.4     37.92 15.19     47.60     3.07
                      "Casalgrande"     "RE"    8.79    5.12    12.7    1.71   7.08   1.32    16.06    49.9      5.3  106.58   99.68     6.10     2.68    7.50  23.54    89.60 27.27 63.31     12.30  1.08  0.57    20250    63.45   48.7     67.50 35.64     44.67     4.97
                           "Casina"     "RE"    8.41   10.88    23.0    1.48   8.66   2.30    15.36    43.9      6.1   97.65  156.04    17.10     9.22   10.03  22.39    68.15 27.69 57.36      6.08  1.92  0.32    16123    58.72   28.8     39.59 10.37     50.12     5.13
                     "Castellarano"     "RE"   10.76    4.73    13.6    1.70   5.57   1.89    13.38    49.7      5.7  114.81  209.98     8.13     3.33   11.55  25.47    88.15 25.15 59.75     14.17  1.17  0.66    21389    60.31   53.0     70.56 41.97     45.24     6.92
              "Castelnovo di Sotto"     "RE"    7.80    9.95    19.7    1.55   9.63   2.01    13.51    47.2      4.8   94.32  113.37    10.06     4.91    9.21  29.71    82.77 28.39 59.31     19.98  1.02  0.48    17538    62.78   37.6     51.80 24.38     52.17     3.88
             "Castelnovo ne' Monti"     "RE"    8.31    9.40    21.0    2.01   9.09   4.22    15.19    44.0      7.0   60.91  166.06     6.95     3.47    9.04  18.64    74.30 28.79 54.78      9.13  1.79  0.61    16877    58.13   33.7     43.85 13.82     37.41     5.73
                         "Cavriago"     "RE"    7.70    8.21    17.4    2.56   8.22   2.81    11.87    47.6      4.2   68.31  115.47     7.73     3.60   11.75  23.60    90.15 30.06 62.71     14.80  1.63  0.50    19397    64.60   46.4     59.73 19.99     48.92     5.81
                         "Collagna"     "RE"    5.85   13.76    40.8    0.90  13.49   0.46    16.38    34.4      5.8   22.45  123.81     3.30     2.06    4.20  13.73    45.40 32.01 43.97      7.14  4.77  0.18    15421    51.26   22.2     10.12  0.00     28.69     3.24
                        "Correggio"     "RE"    7.44    8.51    18.4    1.75   8.48   1.71    12.77    49.1      4.6   74.70  105.40     8.37     3.99   10.45  19.73    80.58 30.04 59.50     13.20  0.93  0.82    19503    65.09   43.3     57.55 22.40     45.58     7.38
                         "Fabbrico"     "RE"    6.34    8.88    18.8    1.40   8.92   2.03    13.54    47.5      6.2   57.14  107.69     6.64     3.20    9.19  25.45    85.82 31.45 50.57      9.33  1.38  0.63    19357    68.61   45.0     71.67 47.26     47.62     5.67
                        "Gattatico"     "RE"    8.38    8.58    18.4    2.05   7.65   1.94    13.99    46.0      5.9   72.84  147.67     8.14     4.00   14.63  26.39    77.47 26.04 57.15     11.06  1.01  0.72    17387    59.98   33.2     57.37 25.89     43.91     6.19
                        "Gualtieri"     "RE"    7.52   10.68    20.8    2.00   9.87   2.51    12.39    44.7      4.5   65.48  144.06     7.12     3.62   10.61  31.39    73.15 30.77 55.54     12.41  1.11  0.51    18203    63.66   42.4     59.51 32.60     53.00     6.11
                        "Guastalla"     "RE"    7.54    8.78    18.7    2.03   9.39   1.44    11.68    45.7      5.3   64.67  126.89     7.54     3.72   12.36  23.94    82.21 31.27 55.80     15.52  1.17  1.26    18999    61.81   43.0     53.48 30.96     39.57     8.11
                        "Ligonchio"     "RE"    4.35   15.48    38.9    1.34  14.06   1.52    19.39    31.9      8.9   20.00  116.22     3.91     2.92    5.00  13.35    52.50 32.80 48.03      5.80  2.59  0.42    17746    58.24   18.9     23.45  0.00     23.26     3.31
                          "Luzzara"     "RE"    7.77    9.62    17.3    1.61   9.45   2.77    12.70    44.3      5.3   57.14  169.42     6.88     3.45    9.59  31.69    80.18 29.71 52.85     15.77  0.79  0.60    17592    59.04   39.6     55.44 17.80     49.13     6.91
                "Montecchio Emilia"     "RE"    8.89    9.42    19.8    2.33   8.90   3.64    12.42    45.6      4.9   78.82  156.97     9.41     4.44   13.64  27.71    88.50 29.95 57.74     16.76  0.94  0.85    19843    60.89   51.7     63.14 34.36     44.47     6.05
